,rab.all,rab.win.PA2.1,rab.win.PA2.3,diff.btw,diff.win,effect,overlap,we.ep,we.eBH,wi.ep,wi.eBH
ASV142_Dialister.sp900765565.GB_GCA_900765565_1.,6.146744534,6.849965118,0.00393084,-6.581965655,4.695981297,-1.287135717,0.101400004,1.40E-18,1.68E-17,4.09E-24,8.07E-23
ASV29_Enterocloster.sp001517625.RS_GCF_001517625_2.,8.366390842,8.687560163,4.39386618,-4.266014082,2.216603796,-1.850692751,0.025000016,1.45E-18,1.96E-17,1.35E-33,1.65E-31
ASV1259_CAG.462.sp900291465.RS_GCF_900291465_1.,-2.318605899,-2.947652252,6.632533066,8.836804731,4.750598781,1.640693327,0.079200005,2.01E-18,2.52E-17,5.21E-25,1.05E-23
ASV112_Family_Megasphaeraceae,-1.727421854,-2.37722784,8.33164995,9.903716896,6.161216046,1.34517699,0.116200003,1.05E-16,9.49E-16,4.86E-21,7.05E-20
ASV93_Sutterella.wadsworthensis_A.RS_GCF_000297775_1.,1.034222144,0.06869305,5.719318725,5.451838413,4.918729024,0.95820134,0.177564489,1.48E-16,1.39E-15,5.74E-17,4.99E-16
ASV40_Order_Christensenellales,9.243928528,9.442215707,7.359904853,-2.058765293,2.084376705,-0.927699756,0.154569088,1.71E-16,2.25E-15,4.73E-19,5.70E-18
ASV10_Lawsonibacter.sp002160305.RS_GCF_002160305_1.,9.795946526,10.00316808,8.71957587,-1.25504118,1.035268752,-1.146183566,0.092400004,1.55E-15,1.12E-14,1.73E-24,3.69E-23
ASV312_Olsenella_E.sp002159625.RS_GCF_002159625_1.,-1.737128476,-2.398986981,6.521244965,8.7095479,5.682256589,1.290987486,0.124775048,1.95E-15,1.51E-14,5.33E-21,7.66E-20
ASV162_Genus_Ruminococcus_D,5.941355385,6.295135294,0.679468281,-5.577865645,4.766280498,-1.088337757,0.098000004,3.23E-15,2.82E-14,2.05E-24,4.31E-23
ASV230_UMGS1518.sp900552575.RS_GCF_903645315_1.,-0.850304693,-1.72565266,4.578309132,6.087244188,5.354670643,0.967435939,0.188362329,5.90E-15,4.29E-14,1.11E-14,7.35E-14
ASV51_UBA5446.sp900752445.GB_GCA_900752445_1.,7.821965325,8.089852296,6.177557306,-1.826883423,1.861447162,-0.892358033,0.160567889,5.25E-15,4.85E-14,4.18E-18,4.24E-17
ASV262_UBA1436.sp002432025.GB_GCA_002432025_1.,-0.826888989,-1.669108935,6.327414395,7.149467542,5.846159242,1.086627706,0.145770848,1.11E-14,7.74E-14,1.14E-18,1.19E-17
ASV105_NSJ.54.sp014385095.GB_GCA_014385095_1.,7.482220914,7.767253292,4.004670002,-3.739655921,2.471479306,-1.383699275,0.069186168,2.33E-14,1.67E-13,3.28E-28,1.03E-26
ASV58_CAG.521.sp000437635.GB_GCA_000437635_1.,6.267003352,5.02394298,6.653117925,1.937699197,5.397503705,0.294633816,0.415716857,3.21E-14,3.00E-13,0.034535119,0.062045974
ASV23_Bacteroides.uniformis.RS_GCF_000154205_1.,9.486172588,9.168241318,11.10720722,1.627299982,2.564347626,0.542199571,0.260547891,1.81E-13,1.49E-12,3.84E-10,1.67E-09
ASV102_CHKCI001.sp900045905.RS_GCF_900045905_1.,4.287338037,4.773551231,-0.521921839,-5.245585141,5.17143263,-0.922469732,0.150569888,2.56E-13,1.77E-12,2.72E-18,2.78E-17
ASV50_Acutalibacter.timonensis.RS_GCF_900048895_1.,7.761239476,8.103343042,5.759321274,-2.482140785,1.810623964,-1.311646833,0.063400006,6.43E-13,3.91E-12,1.17E-28,3.95E-27
ASV5_Mediterraneibacter.sp002159505.RS_GCF_002159505_1.,10.66972118,10.92910264,9.918524479,-1.070279168,1.55017142,-0.648526328,0.235352931,6.39E-13,4.87E-12,1.58E-11,8.04E-11
ASV91_UMGS1004.sp900761685.RS_GCF_900761685_1.,8.247247591,8.554729257,5.626585026,-3.009317997,2.225623398,-1.28180569,0.05278945,1.46E-12,8.44E-12,4.23E-30,1.93E-28
ASV118_Anaeromassilibacillus.sp002159845.RS_GCF_002159845_1.,5.344024525,5.788799821,2.177244692,-3.865405121,3.94428403,-0.912846741,0.103400004,1.44E-12,8.70E-12,2.29E-24,4.79E-23
ASV1500_Monoglobus.pectinilyticus.RS_GCF_002874775_1.,1.831256224,2.456346591,-2.353293547,-4.59831296,4.603829867,-0.901703341,0.152000002,1.49E-12,9.13E-12,5.62E-17,4.50E-16
ASV177_Eisenbergiella.sp900066775.RS_GCF_003481005_1.,4.89479932,5.535405903,1.920978175,-3.977433749,4.627859576,-0.80774651,0.154200002,2.45E-12,1.42E-11,2.97E-19,3.67E-18
ASV276_Extibacter.hylemonae.RS_GCF_008281175_1.,3.540047046,4.116174547,-0.693755531,-4.398806377,4.91225751,-0.820997754,0.157400002,2.32E-12,1.48E-11,2.00E-17,1.79E-16
ASV623_CAG.465.sp000433755.GB_GCA_000433755_1.,2.784835965,3.615610646,-1.952394161,-4.954551228,5.641349217,-0.798564598,0.194761049,3.94E-12,2.27E-11,2.27E-14,1.42E-13
ASV260_UMGS1781.sp900554635.GB_GCA_900554635_1.,8.576100244,8.763318063,7.280372106,-1.516908651,1.885993793,-0.743390129,0.187962409,3.60E-12,2.48E-11,3.69E-15,2.64E-14
ASV241_UBA7173.sp004102805.RS_GCF_004102805_1.,0.676749018,-0.44325432,5.613962025,5.462407594,5.916130869,0.775071721,0.244751051,8.08E-12,4.07E-11,1.17E-10,5.28E-10
ASV210_Class_Bacilli,3.342341347,3.972693873,-1.783857676,-5.145757799,5.939746126,-0.79942405,0.191600002,7.03E-12,4.15E-11,2.37E-14,1.53E-13
ASV348_Bariatricus.comes_A.RS_GCF_013300725_1.,3.174599692,3.847343565,-0.373762436,-4.208780692,4.626547881,-0.85000466,0.146570688,9.99E-12,5.31E-11,2.57E-18,2.59E-17
ASV324_Vallitalea.guaymasensis.RS_GCF_003313305_1.,3.25426101,4.01477515,-0.937850244,-4.282049461,5.346217516,-0.743598038,0.180600002,2.91E-11,1.60E-10,1.12E-15,8.20E-15
ASV891_UBA4626.sp002406115.GB_GCA_002406115_1.,0.93063653,2.406550111,-2.446290595,-4.488119315,5.504284101,-0.704085689,0.21875625,5.29E-11,2.77E-10,4.07E-11,1.78E-10
ASV205_CAG.492.sp900557045.GB_GCA_900557045_1.,8.966563303,9.267019423,6.975027915,-2.300531038,2.023974039,-1.05924502,0.101400004,6.66E-11,3.13E-10,2.24E-24,4.72E-23
ASV95_Anaerotignum.lactatifermentans.RS_GCF_900142265_1.,7.862162892,8.00757379,6.680977194,-1.393064023,1.813318959,-0.708464165,0.21475705,9.06E-11,5.33E-10,2.07E-12,1.16E-11
ASV211_UBA10281.sp900767815.RS_GCF_900767815_1.,7.065520656,7.426194936,5.144963944,-2.481242668,2.090114508,-1.066623678,0.086982608,1.54E-10,7.14E-10,1.39E-25,3.77E-24
ASV7_Genus_Campylobacter_D,4.2235413,3.776733475,6.73771662,3.705004437,5.744966289,0.586028488,0.244551091,1.62E-10,7.42E-10,1.30E-10,5.99E-10
ASV356_Spiro.01.sp900769955.RS_GCF_900769955_1.,-2.359527777,-2.855648147,3.693622374,6.29016843,6.034750922,0.907308321,0.175000002,1.82E-10,8.49E-10,6.24E-14,3.50E-13
ASV1069_Clostridium_A.leptum.RS_GCF_000154345_1.,3.627898621,3.98428429,0.853820752,-3.123791739,3.721839968,-0.767389946,0.137772448,2.49E-10,1.19E-09,1.62E-19,1.99E-18
ASV978_Family_Tannerellaceae,-2.111346922,-2.604315439,5.217333007,6.876220801,6.540042013,0.910356736,0.184200002,3.18E-10,1.33E-09,4.06E-13,1.98E-12
ASV864_Genus_Lacrimispora,-0.004831961,0.891288678,-2.712846617,-3.903758526,5.345416143,-0.658346039,0.22935413,4.39E-10,2.01E-09,5.76E-10,2.19E-09
ASV676_Class_Clostridia,5.447131892,5.774477025,2.891753531,-2.86881941,2.886534564,-0.893303808,0.139200003,5.11E-10,2.24E-09,2.30E-20,3.36E-19
ASV1305_Eubacterium_G.sp000435815.RS_GCF_003460505_1.,1.034272211,1.908364262,-2.454075429,-4.096165236,4.840149815,-0.752284034,0.190361929,5.80E-10,2.40E-09,4.22E-13,2.26E-12
ASV767_Family_UBA1242,1.394399503,2.453963863,-2.076906555,-4.067351846,5.571329953,-0.665264942,0.22975405,8.10E-10,3.75E-09,8.15E-11,3.44E-10
ASV120_Schaedlerella.sp004556565.GB_GCA_004556565_1.,2.652032432,3.434092378,-0.978676309,-4.150255877,6.128645865,-0.627804603,0.234600001,7.85E-10,3.83E-09,1.17E-10,5.12E-10
ASV156_Prevotellamassilia.sp004558535.GB_GCA_004558535_1.,6.51310593,6.925823617,4.334310617,-2.800735207,3.324960335,-0.737845937,0.150769848,1.62E-09,7.19E-09,2.14E-18,2.28E-17
ASV35_UBA7182.sp002160135.RS_GCF_002160135_1.,7.212705425,7.683619302,5.315817567,-2.287901233,2.62671348,-0.784391236,0.177000002,1.86E-09,7.36E-09,1.16E-16,9.90E-16
ASV76_Phylum_Firmicutes_A,6.728135427,7.104759762,4.102897724,-3.040270401,3.929307839,-0.688390773,0.189362129,2.90E-09,1.33E-08,6.09E-15,4.25E-14
ASV17_Family_Oscillospiraceae,8.770076646,8.985848444,6.850747189,-2.136659378,2.335937777,-0.830309575,0.166966609,5.51E-09,1.86E-08,2.68E-17,2.47E-16
ASV150_Dysosmobacter.sp001916835.RS_GCF_014297285_1.,6.812750426,7.034137723,5.253398418,-1.859695741,1.808752148,-0.913075176,0.127974408,4.95E-09,1.88E-08,7.70E-21,1.19E-19
ASV800_Massilicoli.timonensis.RS_GCF_900199515_1.,-0.649394652,0.3824506,-2.879837204,-3.737814574,5.701814966,-0.593495041,0.257348531,4.93E-09,1.94E-08,3.11E-08,1.02E-07
ASV1_Phascolarctobacterium_A.sp900545025.GB_GCA_900545025_1.,4.538266399,3.444124516,9.453723036,5.608378649,7.06880828,0.718009971,0.242351531,6.39E-09,2.13E-08,2.94E-11,1.45E-10
ASV781_Family_CAG.552,3.859370475,4.297480357,0.50795889,-3.430835324,4.981802677,-0.626473879,0.215400001,5.82E-09,2.50E-08,9.91E-13,5.67E-12
ASV337_UBA1417.sp003531055.GB_GCA_008681155_1.,4.294390308,4.669772015,1.960406836,-2.735600279,3.3825826,-0.701753697,0.160600002,7.66E-09,3.13E-08,2.13E-17,1.93E-16
ASV1009_Order_Lachnospirales,2.819288335,3.248062002,0.149730946,-3.051263577,4.435749566,-0.634510612,0.202800002,1.01E-08,4.11E-08,1.32E-13,7.95E-13
ASV812_UBA4855.sp900540365.GB_GCA_900540365_1.,-2.559545132,-2.987236568,2.468258785,5.392083043,6.12110847,0.7771055,0.205600002,1.26E-08,4.67E-08,2.47E-11,1.03E-10
ASV3_Faecalibacterium.sp002160895.RS_GCF_002160895_1.,10.96620086,11.32432632,9.818744819,-1.489454723,2.482013195,-0.543339416,0.255200001,1.20E-08,5.53E-08,1.18E-09,4.90E-09
ASV59_Genus_Blautia_A,6.81582891,7.252310746,5.017684018,-2.241182502,2.764197171,-0.70823601,0.182963409,1.82E-08,6.65E-08,2.23E-15,1.64E-14
ASV358_Lachnoclostridium_A.edouardi.RS_GCF_900240245_1.,1.06857723,2.0148825,-2.150332837,-3.892981389,5.908371251,-0.589064326,0.256748651,2.34E-08,8.97E-08,8.26E-09,2.94E-08
ASV641_Genus_Anaerotruncus,6.019003785,6.212710107,4.364429063,-1.813753198,1.561092481,-1.037357669,0.107600003,4.18E-08,1.40E-07,3.79E-23,6.93E-22
ASV96_Lachnoclostridium_B.sp002160985.RS_GCF_002160985_1.,6.037765071,6.319015069,4.407970259,-1.882458357,2.227530951,-0.725991095,0.175564889,5.17E-08,1.85E-07,2.04E-16,1.69E-15
ASV378_Caprobacter.sp004103755.RS_GCF_004103755_1.,4.472873075,4.786067384,2.785524048,-2.144913518,3.591421168,-0.537765731,0.206600001,6.47E-08,2.50E-07,8.84E-14,5.55E-13
ASV1894_UBA4871.sp902809935.RS_GCF_902809935_1.,0.083685734,0.783808457,-2.728983285,-3.227341092,4.654809953,-0.611470502,0.233553291,7.87E-08,2.73E-07,4.43E-10,1.67E-09
ASV672_Family_Borkfalkiaceae,1.281592515,1.952427487,-1.737342152,-3.340162648,5.444806321,-0.558277697,0.256400001,7.29E-08,2.77E-07,5.79E-09,2.14E-08
ASV128_Family_Acutalibacteraceae,7.758995678,7.949509732,6.096576756,-1.895238158,2.11549785,-0.760995932,0.173000002,1.04E-07,3.69E-07,1.95E-16,1.62E-15
ASV45_Anaerosacchariphilus.sp002160825.RS_GCF_002160825_1.,7.918024769,8.144406133,7.22536427,-0.90670808,1.840446178,-0.454577784,0.295340933,1.03E-07,4.12E-07,1.92E-07,6.52E-07
ASV2023_Faecalicoccus.acidiformans.RS_GCF_014202635_1.,-2.534642464,-2.948949551,1.543632952,4.588628819,5.524107344,0.731365115,0.22095581,1.26E-07,4.26E-07,2.28E-10,8.89E-10
ASV1550_Helicobacter_F.sp002287135.RS_GCF_002287135_1.,-2.637227972,-3.00179295,2.510518059,5.311554103,6.27623378,0.736578722,0.238752251,1.54E-07,5.06E-07,1.91E-08,5.90E-08
ASV480_Angelakisella.sp013316495.GB_GCA_013316495_1.,5.3217652,5.571629665,3.833850994,-1.78073779,1.865804829,-0.814140716,0.126774648,1.84E-07,5.78E-07,5.71E-21,8.58E-20
ASV155_CAG.180.sp900315985.GB_GCA_900315985_1.,5.431319227,6.070930613,2.714841861,-3.252018452,5.648935055,-0.525368649,0.255600001,2.00E-07,7.58E-07,5.47E-10,2.34E-09
ASV788_Formamonas.warabiya.RS_GCF_002777255_1.,4.231101875,4.586036734,2.592371364,-2.046851025,2.887325595,-0.577966733,0.195960809,2.40E-07,8.31E-07,1.00E-14,6.74E-14
ASV747_NSJ.38.sp902363445.RS_GCF_902363445_1.,3.160796051,3.469556566,0.457190197,-2.483246139,4.380221555,-0.520634588,0.230800001,2.82E-07,1.01E-06,7.10E-12,3.64E-11
ASV1642_Family_Christensenellaceae,0.294978867,0.919552253,-2.229842107,-2.930240838,4.450056524,-0.569544868,0.242351531,3.09E-07,1.05E-06,1.40E-09,5.05E-09
ASV516_WQZE01.sp009780875.GB_GCA_009780875_1.,5.97176907,6.303972019,4.38734533,-2.217662555,3.219506848,-0.566568022,0.22455509,3.14E-07,1.11E-06,2.53E-12,1.41E-11
ASV367_Intestinimonas.timonensis.RS_GCF_900626145_1.,6.328480645,6.530753049,5.61994872,-0.961854268,1.641497824,-0.524202,0.265400001,3.83E-07,1.35E-06,9.40E-09,3.53E-08
ASV86_Ligilactobacillus.araffinosus.GB_GCA_001435375_1.,5.621368047,5.96991139,3.764286143,-2.331869501,3.988317618,-0.493513312,0.242000001,4.18E-07,1.46E-06,5.02E-11,2.41E-10
ASV1047_CAG.488.sp900539465.GB_GCA_900539465_1.,0.4172448,1.23290322,-2.206791751,-3.220487605,5.497162879,-0.517558414,0.266600001,4.91E-07,1.60E-06,4.72E-08,1.54E-07
ASV85_Parabacteroides.johnsonii.RS_GCF_000156495_1.,7.03092669,6.414039595,7.824846347,1.67681611,5.152851275,0.328976108,0.309938013,8.80E-07,2.38E-06,2.54E-06,7.65E-06
ASV471_Pseudoruminococcus.massiliensis.RS_GCF_900291955_1.,1.019387196,2.014734638,-1.819345007,-3.413386629,5.925602427,-0.527862256,0.286000001,7.85E-07,2.62E-06,1.92E-07,6.12E-07
ASV3058_Family_CAG.312,-2.010460067,-2.452122052,1.743060332,3.815694312,5.210136359,0.653340274,0.232200001,1.17E-06,3.42E-06,1.27E-09,4.48E-09
ASV9_Alistipes.shahii.RS_GCF_000210575_1.,9.753591549,10.13711845,8.47444737,-1.531590686,2.786222922,-0.462199696,0.294200001,1.17E-06,3.93E-06,7.43E-08,2.64E-07
ASV850_Soleaferrea.massiliensis.RS_GCF_000820765_1.,3.259036464,3.646044268,1.347027147,-2.475060046,4.449284072,-0.499236696,0.252149571,1.24E-06,4.20E-06,7.19E-10,2.97E-09
ASV796_Family_Erysipelotrichaceae,3.337493046,3.642938719,1.251498911,-2.392968516,4.407153405,-0.487889565,0.250149971,1.41E-06,4.72E-06,8.62E-10,3.53E-09
ASV436_CAG.41.sp010206265.RS_GCF_010206265_1.,5.395185575,5.654774921,3.840931612,-1.940461494,3.340810628,-0.502275553,0.231200001,1.47E-06,4.91E-06,1.49E-11,7.55E-11
ASV143_Genus_Ruminococcus_E,2.912969092,2.394479828,4.284483937,2.565048477,5.309747862,0.439207803,0.303800001,2.01E-06,6.11E-06,3.27E-07,1.08E-06
ASV226_Ruthenibacterium.sp900546885.GB_GCA_900546885_1.,5.554138039,5.805081895,3.645777735,-2.167678853,3.61637042,-0.52380542,0.267200001,1.83E-06,6.14E-06,2.57E-09,1.02E-08
ASV1654_Family_Desulfovibrionaceae,-1.443244619,-1.886246245,2.962734538,4.003396445,6.035764937,0.614198929,0.257148571,2.15E-06,6.15E-06,2.99E-09,1.11E-08
ASV499_Genus_Desulfovibrio,4.25745643,4.746799825,2.060969365,-2.608034571,4.503458541,-0.499010525,0.241600001,2.31E-06,7.38E-06,3.43E-11,1.67E-10
ASV399_Anaerostipes.sp001940315.RS_GCF_001940315_1.,4.399380612,4.71569799,2.681565885,-2.574358528,5.534981364,-0.43479049,0.280743852,3.10E-06,1.02E-05,9.37E-08,3.27E-07
ASV1967_HGM11327.sp900759935.RS_GCF_900759935_1.,0.160315241,0.735518533,-2.215371523,-2.626845923,4.49129014,-0.521302278,0.258400001,3.88E-06,1.12E-05,2.26E-08,7.57E-08
ASV1646_Thermoanaerosceptrum.fracticalcis.RS_GCF_000746025_2.,-2.054813105,-2.507573452,1.937363146,4.218759341,5.624637391,0.669567827,0.238952211,5.15E-06,1.28E-05,9.66E-09,3.27E-08
ASV374_CAG.312.sp900546565.GB_GCA_900546565_1.,4.201605447,3.921936625,4.697473453,1.201104555,4.749868213,0.228745751,0.376324735,5.81E-06,1.54E-05,0.002105311,0.004638668
ASV511_AM07.15.sp003477405.GB_GCA_003477405_1.,5.123668398,5.318637969,4.088139753,-1.25415388,1.875730962,-0.562483789,0.21295741,7.59E-06,2.16E-05,5.09E-13,2.96E-12
ASV1165_S5.A14a.sp900112915.RS_GCF_900112915_1.,2.110699609,2.444828121,-0.531769123,-2.339896794,4.835450186,-0.449333792,0.276144772,7.35E-06,2.22E-05,2.45E-08,8.71E-08
ASV740_Genus_Anaeroglobus,-2.470782449,-2.770170591,-0.141944256,4.28370342,8.033356401,0.545996637,0.291341732,8.28E-06,2.24E-05,1.05E-05,2.72E-05
ASV532_Family_CAG.508,5.255955855,5.510670308,4.30510763,-1.566999846,3.261132867,-0.406787222,0.262800001,9.00E-06,2.77E-05,5.78E-09,2.22E-08
ASV870_UBA1829.sp900549045.GB_GCA_900549045_1.,1.369530914,0.247516162,3.703779977,3.005042868,5.630921347,0.475596139,0.292400001,1.31E-05,2.81E-05,2.43E-07,7.97E-07
ASV720_SFLA01.sp004553575.GB_GCA_004553575_1.,4.031350701,4.291720344,2.217439896,-2.026101406,4.381859691,-0.414028926,0.282743452,1.08E-05,3.30E-05,6.40E-08,2.26E-07
ASV1463_Family_UBA932,-1.938548384,-2.265911031,2.485013261,4.336412764,6.879274796,0.579927692,0.283200001,1.55E-05,3.88E-05,9.34E-07,2.64E-06
ASV366_UBA11452.sp002069785.GB_GCA_002069785_1.,2.165099972,1.315102379,4.079320375,2.308410227,5.480822285,0.396450169,0.316000001,2.04E-05,5.06E-05,2.47E-06,7.39E-06
ASV334_Butyricimonas.sp003479425.RS_GCF_003479425_1.,5.178573908,5.751309315,2.267138794,-2.773506088,6.751421434,-0.386121143,0.312937413,1.83E-05,5.51E-05,7.76E-07,2.47E-06
ASV1186_Genus_Brachyspira,-2.678044994,-2.950499623,-0.502202612,3.847781308,6.563874184,0.528497532,0.292800001,2.15E-05,5.51E-05,1.46E-05,3.64E-05
ASV19_Family_Gastranaerophilaceae,8.433474169,8.793296704,6.749616979,-2.009511124,3.929291403,-0.434162402,0.280000001,2.96E-05,8.60E-05,1.16E-08,4.38E-08
ASV109_Genus_Flavonifractor,8.636337397,8.776895817,7.85106394,-1.006477707,1.632966077,-0.54940679,0.247150571,5.43E-05,0.000126907,7.76E-10,3.26E-09
ASV46_Order_Bacteroidales,4.713036833,4.148803187,5.969663889,1.85226555,4.909392067,0.328820503,0.338600001,5.90E-05,0.000141362,3.81E-05,0.000102704
ASV926_UBA7160.sp003612585.RS_GCF_003612585_1.,3.122358704,3.449033417,1.676913777,-1.878564845,4.488903727,-0.372428936,0.301200001,6.43E-05,0.000173619,8.05E-07,2.53E-06
ASV484_Parasutterella.excrementihominis.RS_GCF_000205025_1.,-1.596344317,-1.196054056,-2.86115014,-2.151149608,5.883037725,-0.339255677,0.339600001,7.64E-05,0.000185651,0.000810594,0.001672008
ASV1742_Class_Alphaproteobacteria,-1.749797745,-2.096595737,1.195915206,3.36970028,6.592964032,0.471877513,0.303139373,8.63E-05,0.000207607,1.09E-05,2.83E-05
ASV2099_WRMH01.sp009777235.GB_GCA_009777235_1.,0.975913575,1.376307552,-0.97123799,-2.023620887,4.57835941,-0.398843864,0.294941013,0.000110024,0.0002777,1.08E-06,3.21E-06
ASV508_Order_Oscillospirales,5.152786642,5.327034601,3.876077167,-1.311758102,2.431342297,-0.412123489,0.265746852,0.000110455,0.000286823,2.37E-09,9.39E-09
ASV780_CHKCI006.sp900018345.RS_GCF_900018345_1.,2.596042475,2.954328973,0.133576615,-2.228349902,5.562585969,-0.37964192,0.309400001,0.000116467,0.000299304,2.83E-06,8.29E-06
ASV18_UBA9475.sp002161235.RS_GCF_002161235_1.,7.815358203,8.054657448,6.390521386,-1.655773079,3.722838754,-0.366911063,0.319936013,0.000114856,0.000308765,3.22E-06,9.62E-06
ASV991_CAG.313.sp003539625.GB_GCA_003539625_1.,-1.070672777,-0.561608878,-2.568268919,-2.330720242,5.807879513,-0.35575072,0.341200001,0.000139235,0.000339037,0.00025373,0.000582997
ASV1312_UMGS1537.sp900543695.GB_GCA_900543695_1.,-0.016258515,0.567897649,-1.87018643,-2.271354254,5.183705416,-0.3917304,0.320335934,0.000141887,0.000345822,2.71E-05,6.96E-05
ASV1010_OF09.33XD.sp003481995.GB_GCA_014337215_1.,2.044829053,2.307091703,0.489057751,-1.675710087,4.284149475,-0.346387891,0.314800001,0.00014927,0.000375622,2.58E-06,7.48E-06
ASV6_Kingdom_Bacteria,10.40482327,10.34990331,10.63304844,0.442633779,1.665188413,0.236140949,0.3886,0.000148176,0.000392157,0.006454677,0.013185473
ASV311_CAG.354.sp001915925.GB_GCA_001915925_1.,2.551041292,3.068257838,-0.785528321,-2.688498108,6.662997229,-0.374017747,0.341331734,0.000168754,0.000424949,5.92E-05,0.000152414
ASV552_Massilioclostridium.coli.RS_GCF_900095865_1.,2.281742576,2.846845742,0.755679735,-2.174452264,5.051243042,-0.374803986,0.320135973,0.000177839,0.000442209,5.06E-06,1.45E-05
ASV1394_Genus_Evtepia,2.012313783,2.38176845,0.269985035,-1.888615108,4.499411622,-0.370073351,0.304939013,0.000178491,0.000443876,1.20E-06,3.63E-06
ASV175_Erysipelatoclostridium.sp002160495.RS_GCF_002160495_1.,5.624449324,5.984987759,4.742865195,-1.566030338,3.72855574,-0.354412289,0.306400001,0.000173073,0.000450454,2.08E-06,6.34E-06
ASV1748_Family_CAG.826,-2.707409188,-2.9456693,-1.100900535,3.070980805,6.255171317,0.456118949,0.334800001,0.000224478,0.000500858,0.000255293,0.000540844
ASV171_Fusobacterium_A.necrogenes.RS_GCF_900450765_1.,-1.139934581,-1.419952241,0.859422791,2.987296923,7.89544199,0.367278273,0.346000001,0.0002175,0.000513698,0.000314892,0.000724217
ASV113_Fournierella.sp002161595.RS_GCF_002161595_1.,3.536560866,2.893193113,6.364871929,2.627941989,6.409808533,0.37484968,0.319736053,0.000226019,0.000526257,7.93E-06,2.26E-05
ASV1350_UBA71.sp900767505.RS_GCF_900767505_1.,-1.562342068,-1.962199417,2.263019919,3.183829827,5.996702574,0.478751978,0.303200001,0.000262006,0.000565347,1.02E-05,2.73E-05
ASV1986_NSJ.50.sp014385105.GB_GCA_014385105_1.,2.194895386,2.455754859,0.550766842,-1.80953663,4.780804438,-0.34233079,0.322600001,0.000246889,0.000605366,8.56E-06,2.39E-05
ASV2291_Class_Gammaproteobacteria,-2.607387508,-2.856244452,-0.882128514,3.027627721,6.15827851,0.447538377,0.326534694,0.00033556,0.000706853,0.000158983,0.000350233
ASV79_Paraprevotella.sp900760455.GB_GCA_900760455_1.,0.007385198,-0.471563831,3.17190045,3.10967246,7.454264433,0.387229289,0.326734654,0.000311497,0.000714089,1.84E-05,4.97E-05
ASV381_Class_Spirochaetia,-2.665603312,-2.88694627,-1.363255885,2.376667738,6.655913344,0.333393865,0.343331334,0.000339858,0.000750661,0.001406023,0.002731645
ASV1011_SCTM01.sp004297485.GB_GCA_004297485_1.,-2.74732987,-2.948660176,-1.556733773,2.246324128,7.323621203,0.3046133,0.361000001,0.000347028,0.000751815,0.002079834,0.004028043
